subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log,log_vel_dispersion,log_half_mass_radius,log_metallicity
17185,1,1,12.358970650037156,594.971,682.504,0.00436775,19755.3,47555.0,48920.6,-175.534,79.7657,-6.1149,381146980873560.7,14.581092484003346,2.774495797918615,2.83410520102098,-2.3596428069102435
17186,1,0,11.89695867653665,267.415,64.5298,0.0283652,20128.3,48514.1,48597.4,123.272,210.174,179.846,381146980873560.7,14.581092484003346,2.4271857643116044,1.8097603190815401,-1.5471988393739229
17187,1,0,11.781489307971318,289.305,43.5835,0.0119629,19645.5,47884.2,48837.0,-456.348,-360.781,85.4138,381146980873560.7,14.581092484003346,2.4613559395368347,1.6393221035984316,-1.9221272256666049
17188,1,0,11.373613950444131,179.605,46.8844,1e-06,20226.3,48778.9,48927.0,-444.008,858.008,994.867,381146980873560.7,14.581092484003346,2.254318422766606,1.6710283625247706,-5.698970004336019
17189,1,0,11.188208754743101,168.089,51.606,0.0127685,19345.3,48648.3,49395.7,950.8,-442.201,56.2156,381146980873560.7,14.581092484003346,2.22553929347747,1.7127001980497907,-1.8938261075519476
17190,1,0,11.327649980608681,165.837,27.9255,1e-06,19706.5,48375.1,48877.1,88.8962,-104.68,222.269,381146980873560.7,14.581092484003346,2.2196814327469823,1.4460009578054427,-5.698970004336019
17191,1,0,11.179899857663147,172.264,31.9932,0.00844344,20054.4,47956.6,48943.8,916.01,-1254.87,-682.468,381146980873560.7,14.581092484003346,2.2361945273905333,1.5050576809355571,-2.0734291457346368
17192,1,0,11.292503290005012,174.63,17.9388,1e-06,19930.3,47665.5,49035.0,-627.785,-874.104,191.581,381146980873560.7,14.581092484003346,2.242118854004543,1.2537933879383443,-5.698970004336019
17193,1,0,11.209998355521689,160.125,22.548,1e-06,20080.3,47468.6,49078.8,-67.3909,468.401,1054.26,381146980873560.7,14.581092484003346,2.204459142752743,1.3531080261481505,-5.698970004336019
17194,1,0,11.07303503411495,173.101,26.899,1e-06,20155.8,47383.3,48831.2,1215.63,-34.0242,-773.931,381146980873560.7,14.581092484003346,2.2382995767906304,1.429736134926033,-5.698970004336019
0,0,1,12.568856212400503,603.875,607.966,0.0077182,849.091,26327.0,18306.9,15.8496,-236.392,-89.5239,376813892041260.7,14.576126905600793,2.7809470504945764,2.7838792923890745,-2.1124277066057937
1,0,0,11.74725052314894,333.893,300.959,0.00824652,106.473,24633.3,16900.6,126.425,659.361,540.568,376813892041260.7,14.576126905600793,2.523607314252813,2.4785073351733313,-2.08367662262965
2,0,0,11.797363851483116,297.577,78.2494,0.011213,853.112,26725.7,17510.7,322.079,-886.259,1115.2,376813892041260.7,14.576126905600793,2.473599361151077,1.8934810161521836,-1.9502394482375243
3,0,0,11.23439457170936,159.562,108.971,0.0207876,245.455,26517.4,15888.7,323.022,267.666,997.542,376813892041260.7,14.576126905600793,2.20292947125475,2.0373109363287623,-1.682174757072926
4,0,0,11.124961816304074,168.744,85.2062,0.013132,768.784,26518.3,15530.5,-526.9,48.9844,660.054,376813892041260.7,14.576126905600793,2.22722833964696,1.9304711972059188,-1.881636055736559
5,0,0,11.283642357365359,191.308,66.2267,0.0169194,1426.59,26341.4,19041.2,-192.525,-921.324,-1349.81,376813892041260.7,14.576126905600793,2.281733131465926,1.8210331151934027,-1.7715893744093243
6,0,0,11.461457408106913,217.871,34.0358,0.0212412,904.756,26611.1,17832.4,-368.767,-1041.73,621.098,376813892041260.7,14.576126905600793,2.3381994267669337,1.5319359630059122,-1.6728005064991447
7,0,0,11.284878454148654,164.37,38.2081,0.0323577,1411.39,26663.3,17276.7,-420.809,-409.466,-30.2225,376813892041260.7,14.576126905600793,2.2158225551543724,1.5821554417702746,-1.490008934345528
8,0,0,11.348577325308396,186.551,29.299,0.0286744,835.899,26505.2,17452.6,63.6713,-469.348,778.659,376813892041260.7,14.576126905600793,2.27079758140321,1.4668527977638965,-1.5424905153070385
9,0,0,11.30344669159316,173.414,34.4308,1e-06,471.904,26572.1,18048.4,-1127.26,-768.49,-935.597,376813892041260.7,14.576126905600793,2.239084155869781,1.5369471136587587,-5.698970004336019
31342,2,1,12.452367811367644,567.029,520.023,0.0057079,10900.2,50857.9,47590.4,284.057,-101.15,79.4375,337538116788455.9,14.528322823022382,2.753605270917428,2.7160225523890005,-2.2434475642500264
31343,2,0,11.750917926152688,240.457,36.2453,0.0325993,11470.7,50607.3,47712.0,231.648,-278.97,37.8915,337538116788455.9,14.528322823022382,2.3810374244421526,1.5592516987304217,-1.4867784033754632
31344,2,0,11.633401356474753,199.12,20.6881,1e-06,10612.5,51049.9,47744.3,435.806,-368.428,-173.269,337538116788455.9,14.528322823022382,2.2991148836005366,1.3157206067891818,-5.698970004336019
31345,2,0,10.950737147927047,138.962,119.634,0.00854733,9233.27,51017.3,47010.2,669.005,38.535,889.318,337538116788455.9,14.528322823022382,2.1428960560342727,2.0778546237488342,-2.068118720666522
31346,2,0,11.214395614883912,142.713,28.3614,0.0316793,12028.3,50646.7,48125.1,310.741,-334.138,-555.87,337538116788455.9,14.528322823022382,2.154463535631201,1.4527276650606693,-1.4992107144648774
31347,2,0,10.897414414717762,133.633,47.8757,1e-06,9528.34,50842.7,46704.5,907.908,-272.179,-9.0169,337538116788455.9,14.528322823022382,2.1259137182307257,1.6801151369279033,-5.698970004336019
31348,2,0,10.942254173232579,116.834,42.1398,0.0200782,10625.3,51396.3,48505.5,798.201,834.209,78.1453,337538116788455.9,14.528322823022382,2.0675692457184947,1.6246924700688896,-1.6972535944407001
31349,2,0,10.759699063309258,117.159,46.7379,1e-06,11201.4,51606.1,48350.2,879.629,126.969,-160.816,337538116788455.9,14.528322823022382,2.0687756561442883,1.669669195028805,-5.698970004336019
31350,2,0,10.746707496401692,110.544,40.8465,0.0111308,11164.0,51436.0,46844.1,-882.659,-255.028,388.042,337538116788455.9,14.528322823022382,2.0435351753398185,1.6111548492207481,-1.9534346050398141
31351,2,0,10.749380473883319,123.606,35.9168,1e-06,10492.2,50646.8,46797.2,876.002,-422.281,-673.749,337538116788455.9,14.528322823022382,2.0920395524975115,1.5552976363402096,-5.698970004336019
52618,4,1,12.0800219015028,498.998,516.164,0.00452555,74659.3,18347.5,24016.4,93.146,305.905,152.788,253762749806244.47,14.40442787173464,2.6980988049606554,2.7127877112761265,-2.3442326780761737
52619,4,0,11.711510843487673,289.968,54.2978,0.00792958,237.977,18339.9,24043.3,-221.229,326.276,355.49,253762749806244.47,14.40442787173464,2.462350073105054,1.734782233507521,-2.100695049556506
52620,4,0,11.622407386905273,257.612,36.2411,0.0190515,74593.6,18210.2,23785.7,860.681,-732.442,-657.817,253762749806244.47,14.40442787173464,2.410966089325973,1.5592013710323698,-1.7200480297013037
52621,4,0,11.400688110361882,172.756,47.4695,1e-06,74815.4,18735.8,24537.2,329.064,148.651,69.8158,253762749806244.47,14.40442787173464,2.2374331398183944,1.6764146572843057,-5.698970004336019
52622,4,0,11.1821311530037,168.585,46.8589,0.0165555,73955.5,18154.8,24114.2,1175.14,387.347,-196.347,253762749806244.47,14.40442787173464,2.2268189302707344,1.670792089435138,-1.781031466545134
52623,4,0,11.266578721196923,169.58,28.5739,1e-06,74837.5,18060.9,24161.5,-49.0256,1092.27,-101.749,253762749806244.47,14.40442787173464,2.2293746309288434,1.4559695204977527,-5.698970004336019
52624,4,0,11.197994361720752,173.973,30.2597,1e-06,167.446,18579.2,24140.5,-881.81,573.898,51.571,253762749806244.47,14.40442787173464,2.2404818525304298,1.48086461803646,-5.698970004336019
52625,4,0,10.850186990539779,123.869,70.7296,0.0149348,228.839,19170.9,23758.5,-283.641,-872.467,-397.233,253762749806244.47,14.40442787173464,2.09296263152966,1.8496012020060442,-1.8257715105034027
52626,4,0,10.733664639835716,123.871,31.6332,1e-06,74252.3,18829.8,24412.8,-62.7235,527.466,1148.7,253762749806244.47,14.40442787173464,2.0929696436307648,1.5001431271685484,-5.698970004336019
52627,4,0,10.850698136553488,129.08,19.9304,1e-06,74756.0,18766.1,24329.0,-165.135,-1069.2,-666.558,253762749806244.47,14.40442787173464,2.1108589567318674,1.2995160150100462,-5.698970004336019
88663,9,1,12.315177359043263,526.121,413.721,0.00580338,40718.0,66889.9,43053.7,80.3424,98.7765,122.617,212519505300597.88,14.327398796295338,2.7210856369085494,2.616707565741176,-2.2362441629984526
88664,9,0,11.308407176880602,189.202,39.6196,1e-06,40209.3,66779.4,42711.5,-260.604,-135.382,181.537,212519505300597.88,14.327398796295338,2.2769257228922695,1.59791008658189,-5.698970004336019
88665,9,0,11.162085021917498,158.243,53.8973,0.0206949,40924.1,66607.4,43823.0,312.545,743.543,-813.831,212519505300597.88,14.327398796295338,2.199324507766094,1.7315670096306834,-1.684115682743055
88666,9,0,11.016233669757105,169.593,56.8599,0.0148555,41214.2,66485.7,43425.4,-137.064,681.393,-816.509,212519505300597.88,14.327398796295338,2.2294079226605996,1.7548060915576176,-1.8280834927101963
88667,9,0,10.95887932084188,126.852,65.2729,0.0208228,40231.2,65934.6,42084.9,479.965,612.983,697.937,212519505300597.88,14.327398796295338,2.1032973188743953,1.814732908329791,-1.6814400160145282
88668,9,0,10.865047818371544,154.036,48.6538,1e-06,40356.9,66309.9,43113.1,-613.998,41.4841,638.559,212519505300597.88,14.327398796295338,2.1876222323573224,1.6871167655618682,-5.698970004336019
88669,9,0,11.217763615466847,188.297,24.4351,1e-06,40516.8,67034.3,42868.2,-226.251,1186.14,-352.301,212519505300597.88,14.327398796295338,2.274843400771712,1.3880141207064998,-5.698970004336019
88670,9,0,10.723802634878085,112.785,48.4374,0.012381,41466.3,66708.4,42544.7,-696.243,578.547,618.802,212519505300597.88,14.327398796295338,2.0522513438813093,1.6851808232414973,-1.9072092003231138
