log_stellar_mass,log_vel_disp,log_half_mass_r,log_metallicity,gnn_emb_0,gnn_emb_1,gnn_emb_2,gnn_emb_3,gnn_emb_4,gnn_emb_5,gnn_emb_6,gnn_emb_7,gnn_emb_8,gnn_emb_9,gnn_emb_10,gnn_emb_11,gnn_emb_12,gnn_emb_13,gnn_emb_14,gnn_emb_15,gnn_emb_16,gnn_emb_17,gnn_emb_18,gnn_emb_19,gnn_emb_20,gnn_emb_21,gnn_emb_22,gnn_emb_23,gnn_emb_24,gnn_emb_25,gnn_emb_26,gnn_emb_27,gnn_emb_28,gnn_emb_29,gnn_emb_30,gnn_emb_31,gnn_emb_32,gnn_emb_33,gnn_emb_34,gnn_emb_35,gnn_emb_36,gnn_emb_37,gnn_emb_38,gnn_emb_39,gnn_emb_40,gnn_emb_41,gnn_emb_42,gnn_emb_43,gnn_emb_44,gnn_emb_45,gnn_emb_46,gnn_emb_47,gnn_emb_48,gnn_emb_49,gnn_emb_50,gnn_emb_51,gnn_emb_52,gnn_emb_53,gnn_emb_54,gnn_emb_55,gnn_emb_56,gnn_emb_57,gnn_emb_58,gnn_emb_59,gnn_emb_60,gnn_emb_61,gnn_emb_62,gnn_emb_63,halo_mass_log
9.361326,1.76033,-1.6218071,-1.973629,5.365138,4.8053217,3.421542,4.538689,6.537307,-0.76981384,3.0883453,3.8438904,4.0369997,5.262337,-0.28287956,4.323064,5.0995493,-0.66351,4.40112,3.9532115,2.7006638,-0.64590216,8.268009,0.25805134,-0.6287245,3.4831328,-0.47224444,3.5618148,5.8850193,3.861321,4.613467,2.5261776,1.132828,3.7678647,0.84753627,-0.403639,5.7211,-0.69839483,-0.89669293,1.6028385,2.5047596,6.2913465,-0.318392,5.818282,6.5434456,2.5810246,0.23031421,3.5506394,-0.025895298,2.638698,2.466539,1.284,7.9009857,-0.3983303,-0.94589394,0.59731925,4.0338187,-0.920117,3.5805404,-0.617359,-0.9994221,1.9348879,6.440132,1.8415575,3.8147616,-0.52935326,-0.4223272,-0.21164918,12.92442
9.361326,1.76033,-1.6218071,-1.973629,5.3629637,4.8069158,3.4207122,4.5382533,6.5342627,-0.7698294,3.0957677,3.8444264,4.0379806,5.262733,-0.28323177,4.323125,5.098999,-0.6636485,4.405479,3.9471421,2.6986299,-0.64579755,8.271673,0.2565623,-0.62838125,3.478896,-0.47262174,3.561863,5.883339,3.867632,4.615705,2.5207946,1.13232,3.766826,0.8471556,-0.404099,5.7168574,-0.6985523,-0.89661247,1.6020975,2.5074582,6.295501,-0.31835997,5.821763,6.5442476,2.5754666,0.23030576,3.5500298,-0.024888296,2.6376023,2.4664114,1.2841293,7.903634,-0.39857653,-0.9464213,0.5971163,4.0364,-0.9199252,3.5814376,-0.6176103,-0.9993297,1.9370658,6.443467,1.8423353,3.8169723,-0.52949864,-0.42223865,-0.21161465,12.92442
9.271366,1.7439519,-1.6565261,-2.0167325,5.3263364,4.8124347,3.369036,4.5112953,6.504678,-0.7686564,3.062351,3.8369598,3.989585,5.257704,-0.2852579,4.282403,5.110846,-0.6605382,4.3617496,3.9463742,2.6845098,-0.6431447,8.243374,0.27155113,-0.6248219,3.4595473,-0.46865907,3.5516472,5.875735,3.8556943,4.6528234,2.507562,1.1464097,3.7681918,0.86334056,-0.39754528,5.664785,-0.6931089,-0.8917799,1.5997676,2.5099082,6.2588906,-0.3167683,5.7747684,6.5376267,2.5515006,0.23856081,3.5464582,-0.011428479,2.6322405,2.4342146,1.2828372,7.881231,-0.39940426,-0.9437475,0.63360226,4.015112,-0.9171679,3.5728123,-0.6143823,-0.99784946,1.9196671,6.3904552,1.8783488,3.8076413,-0.5266975,-0.41935438,-0.2033263,12.92442
9.361326,1.76033,-1.6218071,-1.973629,5.3636837,4.8060493,3.4210923,4.539145,6.5345216,-0.7698675,3.0926096,3.844389,4.037547,5.2627,-0.28309268,4.3231015,5.0993023,-0.66352546,4.40336,3.9494026,2.6996524,-0.6457658,8.270739,0.2568405,-0.62844193,3.4798965,-0.4725136,3.5618312,5.884367,3.8656723,4.6148267,2.5219398,1.1324707,3.7665496,0.8473009,-0.40389925,5.7173758,-0.69855523,-0.89665,1.6024351,2.5061965,6.294225,-0.31832936,5.820924,6.544244,2.5775616,0.23025699,3.5509248,-0.024783865,2.6375213,2.4664874,1.284025,7.902147,-0.398473,-0.9463212,0.59713316,4.0362024,-0.9199282,3.5815194,-0.6175551,-0.99938756,1.936725,6.442804,1.8419714,3.8168292,-0.5294791,-0.42225045,-0.21161385,12.92442
10.127996,1.879886,-1.5969851,-2.168899,5.596961,4.844678,3.7063046,4.8207417,6.7573304,-0.7893709,3.1770904,3.8746407,4.291505,5.447381,-0.2917685,4.5313025,5.2620974,-0.7054361,4.729026,3.9679284,2.8316088,-0.68436813,8.715109,0.20533974,-0.6556822,3.771679,-0.49820653,3.858081,6.2389903,3.9686177,4.647031,2.5212436,1.2118413,3.9664974,0.93472564,-0.34380925,5.98452,-0.73067486,-0.93604326,1.8106811,2.439508,6.675523,-0.22070003,6.2302384,6.9272475,2.6277413,0.24151552,3.7224033,-0.12585232,2.780892,2.7183459,1.274353,8.229105,-0.3972081,-0.9947481,0.628903,4.0897865,-0.96939707,3.7274418,-0.6353515,-1.0332149,2.005903,6.73377,1.8752029,4.06511,-0.5524832,-0.34933317,-0.11922507,13.478678
10.127996,1.879886,-1.5969851,-2.168899,5.597273,4.84412,3.7064254,4.820993,6.7574472,-0.789416,3.176238,3.8746846,4.291394,5.447378,-0.29171056,4.5313087,5.262147,-0.70537174,4.7282114,3.968663,2.8323274,-0.6843556,8.714759,0.2051507,-0.65568674,3.771834,-0.4981799,3.8580704,6.239555,3.9680977,4.646424,2.521382,1.2118648,3.966018,0.9347849,-0.34374446,5.98433,-0.73066956,-0.9360512,1.8107269,2.4392662,6.675578,-0.2206851,6.2300487,6.9273844,2.6283412,0.24148393,3.7228794,-0.12570493,2.780908,2.7183955,1.2743552,8.228392,-0.39718932,-0.99471533,0.6288948,4.089837,-0.96939296,3.7279434,-0.63536537,-1.0332294,2.0057127,6.7336264,1.8751171,4.065135,-0.55246407,-0.34931874,-0.11919719,13.478678
10.0103035,1.8370291,-1.5547252,-2.2202907,5.496886,4.851548,3.6815012,4.776766,6.673021,-0.7864319,3.2144487,3.878698,4.227185,5.4276147,-0.29562002,4.5140944,5.220473,-0.7051563,4.782026,3.9803085,2.8393452,-0.6798513,8.698383,0.19967228,-0.6497853,3.7734265,-0.4963161,3.808348,6.188528,4.0006723,4.636429,2.542575,1.2063322,4.00797,0.9475163,-0.33055967,5.948172,-0.7263513,-0.92804706,1.8323634,2.421053,6.6734056,-0.20521338,6.2469406,6.876833,2.5606427,0.23283222,3.6785495,-0.14031784,2.7582362,2.6876764,1.2769465,8.17962,-0.3956703,-0.9885259,0.6526054,4.105352,-0.96504074,3.7613783,-0.6320265,-1.0263047,2.038705,6.712343,1.8978606,4.0826483,-0.5519163,-0.33786708,-0.10164985,13.478678
10.127996,1.879886,-1.5969851,-2.168899,5.597072,4.844535,3.7063186,4.8206277,6.7576227,-0.7893753,3.1770077,3.874617,4.291496,5.447351,-0.29175186,4.531303,5.262079,-0.7054328,4.7289286,3.9681306,2.8318017,-0.68438834,8.714859,0.20531085,-0.6557025,3.771859,-0.49818763,3.8580844,6.2390413,3.9683795,4.6468196,2.5214915,1.2118461,3.9665055,0.93475044,-0.34380016,5.984728,-0.7306522,-0.9360406,1.8106819,2.4395633,6.675536,-0.22071059,6.2300634,6.927243,2.6278856,0.24151807,3.722356,-0.12595806,2.7810433,2.7183566,1.2743781,8.229017,-0.39720795,-0.99470997,0.628917,4.0895934,-0.969417,3.7276547,-0.63535273,-1.0332088,2.005694,6.7335615,1.8752077,4.0649076,-0.5524648,-0.34933385,-0.11921582,13.478678
9.300807,1.6459631,-2.0678015,-1.8026445,5.418296,4.842636,3.247911,4.4103823,6.6179442,-0.75412345,3.0312655,3.8046436,4.108792,5.166238,-0.28214696,4.214934,5.3087707,-0.6655351,4.089532,3.9210896,2.4624686,-0.65707225,8.381325,0.2701596,-0.6383568,3.2884972,-0.47538733,3.6096764,5.8832235,3.8298993,4.7973924,2.456493,1.2958245,3.8254437,0.8345009,-0.3951997,5.5506167,-0.6974623,-0.89377576,1.4104164,2.5244946,6.173202,-0.33104548,5.5831256,6.441556,2.743553,0.3727823,3.641189,-0.026325587,2.5268993,2.312532,1.2756262,7.8424683,-0.39938968,-0.9580455,0.70765936,4.0557537,-0.90259314,3.43134,-0.6121973,-1.0141498,1.9421297,6.2888575,1.9733284,3.8076262,-0.5074059,-0.4247672,-0.21502343,12.655818
9.35879,1.652672,-2.1021745,-1.7637517,5.472908,4.8392205,3.2604818,4.4264016,6.662401,-0.7544734,3.010122,3.8046935,4.1450467,5.1671014,-0.27961457,4.2243285,5.336042,-0.6662621,4.0528836,3.9145622,2.4496183,-0.659476,8.396324,0.27156484,-0.64167476,3.2811828,-0.47664446,3.630605,5.904867,3.8110743,4.8062253,2.4460166,1.307673,3.8116112,0.82670164,-0.3973148,5.566783,-0.70012575,-0.89708656,1.3968621,2.5326023,6.184155,-0.3332659,5.565919,6.4564304,2.7869787,0.3847561,3.6648118,-0.02175728,2.5298712,2.3198328,1.2734876,7.8574805,-0.39974216,-0.9608164,0.69920516,4.047983,-0.903523,3.414165,-0.61380523,-1.0179663,1.9268684,6.28977,1.9660077,3.7983556,-0.5064709,-0.42652914,-0.21334521,12.655818
